ID,Label,Definition,Definition Source,See Also,Editor,RDF Type,Class Type,Parent IRI,Domain,Range,property assertion
curato:0000119,microsoft azure,a software service for data storage and data mining provided by Microsoft software company and the Azure cloud solution,,,Philippe Rocca-Serra,owl:Class,subclass,software,,,
curato:0000120,tableau,"a software service for performing ETL operations provided by software company Pentaho, a subsidiary of Hitachi.",,,Philippe Rocca-Serra,owl:Class,subclass,software,,,
curato:0000121,penthaho kettle,"a software service for performing ETL operations provided by software company Pentaho, a subsidiary of Hitachi.",,,Philippe Rocca-Serra,owl:Class,subclass,software,,,
BFO:0000019,quality,,,,,owl:Class,subclass,BFO:0000020,,,
BFO:0000040,material entity,,,,,owl:Class,subclass,BFO:0000004,,,
OBI:0000245,organization,,,,Philippe Rocca-Serra,owl:Class,subclass,BFO:0000040,,,
curato:0000122,sisense,"a software suite for business intelligence, data wrangling and data mining",,,Philippe Rocca-Serra,owl:Class,subclass,organization,,,
curato:0000123,elsevier,"a software suite for business intelligence, data wrangling and data mining",,,Philippe Rocca-Serra,owl:Class,subclass,organization,,,
curato:0000124,poolparty,a software service which offers support for semantic and knowledge management,,,Philippe Rocca-Serra,owl:Class,subclass,software,,,
curato:0000125,centinel,"a software service provided by SciBite company to manage controlled terminologies and curation function, combining functions equivalent to OLS,zooma and oxo",,,Philippe Rocca-Serra,owl:Class,subclass,software,,,
curato:0000126,ontology lookup service,"a software service provided by EMBL-EBI SOFT group, which serves controled terminologies, allowing searches and exploration and term selection.",,,Philippe Rocca-Serra,owl:Class,subclass,software,,,
curato:0000127,zooma,a software service provided bu EMBL-EBI SOFT group which assist curation based on prior of existing curated and annotated dataset from ArrayExpress database,,,Philippe Rocca-Serra,owl:Class,subclass,software,,,
curato:0000128,oxo,a software service provided bu EMBL-EBI SOFT group which serves mapping between ontologies,,,Philippe Rocca-Serra,owl:Class,subclass,software,,,
curato:0000129,ncbo bioportal,"a software service provided by the National Center for Biomedical Ontologies, which serves controled terminologies, allowing searches and exploration and term selection.",,,Philippe Rocca-Serra,owl:Class,subclass,software,,,
curato:0000130,ncbo annotator,"a software service provided by the National Center for Biomedical Ontologies which, given a body of text and a set of ontologies will return annotation hits.",,,Philippe Rocca-Serra,owl:Class,subclass,software,,,
BFO:0000015,Process,,,,,owl:Class,subclass,BFO:0000003,,,
OBI:0200000,data transformation,,,,,owl:Class,subclass,OBI:0000011,,,
curato:0000001,natural language processing,"Natural language processing (NLP) is a process concerned with the interactions between computers and human (natural) languages, in particular how to program computers to process and analyze large amounts of natural language data.",https://en.wikipedia.org/wiki/Natural_language_processing,,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000002,text mining,text mining is the process of deriving high-quality information from text. High-quality information is typically derived through the devising of patterns and trends,https://en.wikipedia.org/wiki/Text_mining,novartis:text processing,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000003,sentence extraction,"sentence extraction is a technique used for automatic summarization of a text. In this shallow approach, statistical heuristics are used to identify the most salient sentences of a text. Sentence extraction is a low-cost approach compared to more knowledge-intensive deeper approaches which require additional knowledge bases such as ontologies or linguistic knowledge. In short ""sentence extraction"" works as a filter which allows only important sentences to pass.",https://en.wikipedia.org/wiki/Sentence_extraction,,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000004,string tokenization,string tokenization is the process of demarcating and possibly classifying sections of a string of input characters.,https://en.wikipedia.org/wiki/Lexical_analysis#Tokenization,,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000005,concept recognition,the process of identifying an entity and marking it up from a free text input,FAIRplus,,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000006,entity name recognition,"Named-entity recognition (NER) (also known as entity identification, entity chunking and entity extraction) is a subtask of information extraction that seeks to locate and classify named entity mentions in unstructured text into pre-defined categories such as the person names, organizations, locations, medical codes, time expressions, quantities, monetary values, percentages,",https://en.wikipedia.org/wiki/Named-entity_recognition,,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000007,part of speech tagging,"part-of-speech tagging (POS tagging or PoS tagging or POST), also called grammatical tagging or word-category disambiguation, is the process of marking up a word in a text (corpus) as corresponding to a particular part of speech,[1] based on both its definition and its context—i.e., its relationship with adjacent and related words in a phrase, sentence, or paragraph.",https://en.wikipedia.org/wiki/Part-of-speech_tagging,,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000008,string matching,,,,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000009,information extraction,Information extraction (IE) is the task of automatically extracting structured information from unstructured and/or semi-structured machine-readable documents.,https://en.wikipedia.org/wiki/Information_extraction,,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000010,information management,"Information management (IM) concerns a cycle of organizational activity: the acquisition of information from one or more sources, the custodianship and the distribution of that information to those who need it, and its ultimate disposition through archiving or deletion.",https://en.wikipedia.org/wiki/Information_management,,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000011,terminology management,the process of handling (from developing to maintaining and serving) controled vocabularies,,,Philippe Rocca-Serra,owl:Class,subclass,information management,,,
curato:0000012,terminology hosting,"the process of loading, serving controlled vocabularies and terminologies for access, browsing and selection",,,Philippe Rocca-Serra,owl:Class,subclass,terminology management,,,
curato:0000013,terminology lookup,the process of searching a terminology with an input string for matching concepts,,,Philippe Rocca-Serra,owl:Class,subclass,terminology management,,,
curato:0000014,ontology management,"the process of handling (from developing to maintaining and serving) a formal knowledge representation, semantic artefact",,,Philippe Rocca-Serra,owl:Class,subclass,information management,,,
curato:0000015,ontology lookup,the process of searching an ontology with an input string for matching concepts,,,Philippe Rocca-Serra,owl:Class,subclass,ontology management,,,
curato:0000016,semantic tagging,"the process of marking up free text element (tokens, possibly resulting from tokenization) with a controlled term from a semantic artefact",,semantic markup,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000017,semantic search,a search process which relies on ontology to improve retrieval (e.g. query expansion),,,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000018,ontology development,"the process of creating, assembling a formal semantic representation",,,Philippe Rocca-Serra,owl:Class,subclass,ontology management,,,
curato:0000019,ontology maintenance,"the process of keeping a semantic representation up to date and in keeping with advances in the domain. This covers dealing with term submission, term obsoletion, release and evolution",,,Philippe Rocca-Serra,owl:Class,subclass,ontology management,,,
curato:0000020,ontology refactoring,"the process of re-arranging, re-engineering a formal semantic representation for optimization purpose, such as promotion of module reuse.",,,Philippe Rocca-Serra,owl:Class,subclass,ontology management,,,
curato:0000021,ontology composition,the process of creating a formal semantic model from sets of existing modules extracted from other compatible semantic frameworks,,,Philippe Rocca-Serra,owl:Class,subclass,ontology management,,,
curato:0000022,ontology extension,the process of augmenting a formal semantic model following batch submission of terms from a domain or modeling of a new domain of knowledge connex to the main them of the ontology,,,Philippe Rocca-Serra,owl:Class,subclass,ontology management,,,
curato:0000023,ontology dynamic extension,"an ontology extension process which happens on the fly, as users come up with the need. This is hard to accomplish as allowing user defined terms at will may lead to inconsistency and breakage.",,,Philippe Rocca-Serra,owl:Class,subclass,ontology management,,,
curato:0000024,knowledge representation,the process of formally describing a domain of knowledge,,,Philippe Rocca-Serra,owl:Class,subclass,information management,,,
curato:0000025,knowledge formalization,the process of breaking down a domain of knowledge according to rules,,,Philippe Rocca-Serra,owl:Class,subclass,knowledge representation,,,
curato:0000026,axiomatic representation,"the process of representing knowledge using formal rules, known as axiomsm, which allow automatic reasoning and solving",,,Philippe Rocca-Serra,owl:Class,subclass,knowledge representation,,,
curato:0000027,data modeling,the process of developing a domain representation by analysing data.,,,Philippe Rocca-Serra,owl:Class,subclass,knowledge representation,,,
curato:0000028,data model,a data model is an information content entity which denotes and describes a domain of knowledge,,,Philippe Rocca-Serra,owl:Class,subclass,knowledge representation,,,
curato:0000029,model training,"the process of involving statistical methods, machine learning procedure to build a model which can be used to analysis new datasets and draw conclusions from never seen before data.",,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000030,classification,"the process of  classification is the process of identifying to which of a set of categories (sub-populations) a new observation belongs, on the basis of a training set of data containing observations (or instances) whose category membership is known",https://en.wikipedia.org/wiki/String-searching_algorithm,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000031,data imputation,data imputation is the process of replacing missing data with substituted values.,https://en.wikipedia.org/wiki/Imputation_(statistics),,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000032,dealing with missing value,dealing with missing value is a process which aims to address the problems that occur when no data value is stored for the variable in an observation. Missing data are a common occurrence and can have a significant effect on the conclusions that can be drawn from the data.,,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000033,extract transform load process,"extract, transform, load (ETL) is the general procedure of copying data from one or more sources into a destination system which represents the data differently from the source(s) or in a different context than the source(s).","https://en.wikipedia.org/wiki/Extract,_transform,_load",,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000034,data type checking,"the process of verifying that a data item supplied matches the specifications it is meant to comply with (e.g. an integer, a string,....)",,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000035,duplicate removal,the process of removing redundant entries which add volume without adding value,,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000036,pass through loading,,,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000037,data lookup,the process of assessing the presence of a data item in a existing data strucuture or data storage system,,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000038,characterset conversion,the process of changing the encoding of information from one repertoir of characters convention (characterset) to another one,,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000039,encoding conversion,the process of changing the encoding of information from one convention to another one,,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000040,numerical conversion,the process of changing a numerical representation,,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000041,date conversion,the process of changing a date representation from one convention to another (e.g. from free to ISO8601),,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000042,unit conversion,the process of changing a numerical representation from one set of units to another one (e.g. from imperial to metric),,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000043,field splitting,the process of dividing the information contained in one element into at least 2 more components,rule,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000044,field merging,the process of bringing information from at least 2 components into one single element (e.g concatenation operation),rule,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000045,olap operation,"online analytical processing is the process which concerns itself with analyzing multidimensional data interactively from multiple perspectives. OLAP consists of three basic analytical operations: consolidation (roll-up), drill-down, and slicing and dicing",https://en.wikipedia.org/wiki/Online_analytical_processing,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000046,data cube pivoting,a subtype of olap operation which ...,,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000047,data cube slicing,a subtype of olap operation which ...,,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000048,data cube dicing,a subtype of olap operation which ...,,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000049,data integrity checking,"Data integrity is the maintenance of, and the assurance of the accuracy and consistency of, data over its entire life-cycle,[1] and is a critical aspect to the design, implementation and usage of any system which stores, processes, or retrieves data.",https://en.wikipedia.org/wiki/Data_integrity,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000050,file checksumming,the process of computing a checksum of a digital document for the purpose of allowing data integrity checking during exchange and transmission,,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000051,encryption,"the process of encoding digitical information to make it impossible to decipher without a key, known as the encryption key",,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000052,anonymization,"Data anonymization is a type of information sanitization whose intent is privacy protection. It is the process of either encrypting or removing personally identifiable information from data sets, so that the people whom the data describe remain anonymous.",https://en.wikipedia.org/wiki/Data_anonymization,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000053,pseudoanymization,"Pseudonymization is a data management and de-identification procedure by which personally identifiable information fields within a data record are replaced by one or more artificial identifiers, or pseudonyms.",https://en.wikipedia.org/wiki/Pseudonymization,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000054,normalization,,,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000055,mapping,"data mapping is the process of creating data element mappings between two distinct data models. Data mapping is used as a first step for a wide variety of data integration tasks,",https://en.wikipedia.org/wiki/Data_mapping,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000056,automatic schema mapping,the process of using software agent to perform a mapping task between data models,,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000057,manual schema mapping,the process of using human expert to perform a mapping task between data models,,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000058,automatic ontology mapping,"the process of using software agent to perform a mapping task between ontologies, semantic artefacts",,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000059,manual ology mapping,"the process of using human expert to perform a mapping task between ontologies, semantic artefacts",,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000060,serialization,"serialization (or serialisation) is the process of translating data structures or object state into a format that can be stored (for example, in a file or memory buffer) or transmitted (for example, across a network connection link) and reconstructed later (possibly in a different computer environment)",https://en.wikipedia.org/wiki/Serialization,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000061,format conversion,format conversion is a process on changing the representation model used during serialization,,,Philippe Rocca-Serra,owl:Class,subclass,data transformation,,,
curato:0000062,assessment,the process of checking and evaluating,,,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000063,validation,the process of checking against a set of rules and ensuring those are met,,,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000064,syntactic validation,the process of checking against a set of rules which only concerns themselves with the grammar (syntax) but not the context. A syntactically valid document may contain incoherent content (semantic),,,Philippe Rocca-Serra,owl:Class,subclass,validation,,,
curato:0000065,semantic validation,the process of checking against a set of semantic rules to ascertain information content validity (rather than its format),,,Philippe Rocca-Serra,owl:Class,subclass,validation,,,
curato:0000066,constraint validation,the process of checking against a set of constraints,,,Philippe Rocca-Serra,owl:Class,subclass,validation,,,
curato:0000067,compliance assessment,an assessment process which ascertain conformance to a set of specifications,,,Philippe Rocca-Serra,owl:Class,subclass,assessment,,,
curato:0000068,data hosting,the process of storing and serving data,,,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000069,file hosting,the process of storing and serving files,,,Philippe Rocca-Serra,owl:Class,subclass,data hosting,,,
curato:0000070,ontology hosting,the process of storing and serving semantic artefacts,,,Philippe Rocca-Serra,owl:Class,subclass,data hosting,,,
curato:0000071,identifier management,"the process of handling (minting, serving, deprecating, obsoleting) data item used to denotes and uniquely mark entities:",,,Philippe Rocca-Serra,owl:Class,subclass,information management,,,
curato:0000072,identifier minting,the process of creating an identifier (e.g. DOI),,,Philippe Rocca-Serra,owl:Class,subclass,identifier management,,,
curato:0000073,identifier resolution,the process of handling a request formed from an identifier and direct the requesting agent to the relevant content,,,Philippe Rocca-Serra,owl:Class,subclass,identifier management,,,
curato:0000074,identifier mapping,the process of provinding a correspondance between identifiers from 2 distinct resources for the equivalent entities,,,Philippe Rocca-Serra,owl:Class,subclass,identifier management,,,
curato:0000075,identifier tombstoning,"the process of leaving a marker in a location where a digital record has been withdrawn, in order to signify that the record had previously existed.",,,Philippe Rocca-Serra,owl:Class,subclass,identifier management,,,
curato:0000076,data storage,the process of preserving data and information in digital form,,,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000077,rdbms data storage,a data storage process which uses a relational database management system,,,Philippe Rocca-Serra,owl:Class,subclass,data storage,,,
curato:0000078,document oriented data storage,a data storage process which uses a storage system indexing document directly,,,Philippe Rocca-Serra,owl:Class,subclass,data storage,,,
curato:0000079,graph data storage,a data storage process which stored data as a graph based representation (in contrast to table based representation as in RDBMS),,,Philippe Rocca-Serra,owl:Class,subclass,data storage,,,
curato:0000080,publication,the process of making a data object available to a public,,,Philippe Rocca-Serra,owl:Class,subclass,information management,,,
curato:0000081,versioning,the process of handling managing the evolution and changes to a data object,,,Philippe Rocca-Serra,owl:Class,subclass,information management,,,
curato:0000082,data assessment,an assessment process which focuses solely on data,,,Philippe Rocca-Serra,owl:Class,subclass,assessment,,,
curato:0000083,statistical assessment,an assessment process which relies on statistical methods and exploration to carry out an evaluation against a set of metrics,,,Philippe Rocca-Serra,owl:Class,subclass,assessment,,,
curato:0000084,domain expert assessment,an assessment process carried by a human agent whose domain knowledge is recognized,,,Philippe Rocca-Serra,owl:Class,subclass,assessment,,,
curato:0000085,collegial/community assessment,an assessment process carried by a group of human agent whose domain knowledge is recognized,,,Philippe Rocca-Serra,owl:Class,subclass,assessment,,,
curato:0000086,quality assessment,a process which aims to evaluate the quality of an entity,,,Philippe Rocca-Serra,owl:Class,subclass,assessment,,,
curato:0000087,quality assurance,"a process in which the delivery of a service or the quality of a product is assessed, and compared with that required.",,,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000131,licensing,"a process of choosing or granting a license to an entity (software, hardware,data)",,,,owl:Class,subclass,Process,,,
curato:0000132,maintenance,"a process which aim to ensure continuation, persistance of a service or structure at minima to maintain its existence and availability.",,,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000133,resource allocation,a process which defines how means are assigned to people or organization to execute a task,,,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000134,team organization,,,,Philippe Rocca-Serra,owl:Class,subclass,quality,,,
curato:0000135,value based assessment,a process which consists in estimating the performance of a process based on value addition generated by said process,,,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000136,access condition,"a rule deterrmine who, when, what and how entities may be made available.",,,Philippe Rocca-Serra,owl:Class,subclass,Process,,,
curato:0000137,access protocol,an access protocol is a software specification defining the implementation for obtaining data under a number of access conditions,,,Philippe Rocca-Serra,owl:Class,subclass,information content entity,,,
curato:0000138,ftp,file transfer protocol is a standard network protocol used for the transfer of computer files between a client and server on a computer network. FTP specifications evolved from the initial RFC114 from 1971 to the latest specification RFC2428 adding support for IPv6 in 1998.,,,Wikipedia,owl:Class,subclass,access protocol,,,
curato:0000139,http,"The Hypertext Transfer Protocol (HTTP) is an application protocol for distributed, collaborative, hypermedia information systems. HTTP is the foundation of data communication for the World Wide Web. It is an international standard specified by RFC 2068 in 1997 (HTTP1.1),  obsoleted by RFC 2616 in 1999, which was likewise replaced by the RFC 7230 family of RFCs in 2014.",,,Wikipedia,owl:Class,subclass,access protocol,,,
curato:0000140,sftp,"secure file transfer protocol is a secured version of the FTP procotol, which relies on SSH authentication",,,Wikipedia,owl:Class,subclass,access protocol,,,
curato:0000141,application programming interface,An application programming interface (API) is a computing interface which defines interactions between multiple software intermediaries,,,Wikipedia,owl:Class,subclass,software,,,
curato:0000142,rest api,"Representational state transfer (REST) is a software architectural style that defines a set of constraints to be used for creating Web services,  introduced and defined in 2000 by Roy Fielding in his doctoral dissertation. HTTP-based RESTful APIs are defined with the following aspects:

-a base URI, such as http://api.example.com/collection/;
-standard HTTP methods (e.g., GET, POST, PUT, PATCH and DELETE);
-a media type that defines state transition data elements ",,,Philippe Rocca-Serra,owl:Class,subclass,application programming interface,,,
curato:0000143,soap api,"SOAP (abbreviation for Simple Object Access Protocol) is a messaging protocol specification for exchanging structured information in the implementation of web services in computer networks. Its purpose is to provide extensibility, neutrality, verbosity and independence.[vague] It uses XML Information Set for its message format, and relies on application layer protocols, most often Hypertext Transfer Protocol (HTTP), although some legacy systems communicate over Simple Mail Transfer Protocol (SMTP), for message negotiation and transmission",,,Wikipedia,owl:Class,subclass,application programming interface,,,
curato:0000144,open/smart api,"The OpenAPI Specification, originally known as the Swagger Specification, is a specification for machine-readable interface files for describing, producing, consuming, and visualizing RESTful web services.",,,Wikipedia,owl:Class,subclass,application programming interface,,,
curato:0000145,graphql api,"an API which is built using the GraphQL is a query language, a specification, and a set of tools that operates over a single endpoint using HTTP. It is meant to address the issue of ""over and under fetching"" during querying REST endpoints. GraphQL language was developed by Facebook. (https://www.howtographql.com/basics/1-graphql-is-the-better-rest/)",,,Philippe Rocca-Serra,owl:Class,subclass,application programming interface,,,
curato:0000146,maturity level,a quality to indicate the stage at which an entity is in its life cycle,,,Philippe Rocca-Serra,owl:Class,subclass,quality,,,
curato:0000147,exploratory,"a maturity level with indicates an early phase, for feasability study capability",,,Philippe Rocca-Serra,owl:Class,subclass,maturity level,,,
curato:0000148,prototypic,"a maturity level with indicates an early phase, for evaluation and testing assessment capability",,,Philippe Rocca-Serra,owl:Class,subclass,maturity level,,,
curato:0000149,immature,a maturity level which indicates developing capability which has not reached full potential,,,Philippe Rocca-Serra,owl:Class,subclass,maturity level,,,
curato:0000150,mature,"a maturity level which indicates a stable, fully fledged capability",,,Philippe Rocca-Serra,owl:Class,subclass,maturity level,,,
curato:0000151,production grade,"a maturity level which indicates a stable, susceptible to be deployed in production environment capability",,,Philippe Rocca-Serra,owl:Class,subclass,maturity level,,,
curato:0000152,state of the art,a maturity level which indicates a reference status for a capability in its domain.,,,Philippe Rocca-Serra,owl:Class,subclass,maturity level,,,
curato:0000153,deployed,"a maturity level which indicates a stable, susceptible to be deployed in production environment",,,Philippe Rocca-Serra,owl:Class,subclass,maturity level,,,
curato:0000154,obsolescent,a maturity level which indicates declining capability,,,Philippe Rocca-Serra,owl:Class,subclass,maturity level,,,
curato:0000155,obsolete,a maturity level which indicates a capability has reached the end of its life.,,,Philippe Rocca-Serra,owl:Class,subclass,maturity level,,,
curato:0000156,retired,a maturity level which indicates a capability has been removed from frontline production.,,,Philippe Rocca-Serra,owl:Class,subclass,maturity level,,,
